Time,CC3DV,CC3DH,CC3DP,CC3DIFNe_Scalar,CC3DIFNe_Field,CC3DSTATP,CC3DIRF7,CC3DIRF7P,CC3DIFN
0.000000e+00,3.093381e-12,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.201026e-28
1.666667e-01,3.867744e-12,1.000000e+00,1.000000e+00,7.271277e-28,0.000000e+00,4.500738e-27,1.654321e-28,1.759523e-29,1.058846e-27
3.333333e-01,4.835857e-12,1.000000e+00,1.000000e+00,2.137958e-27,3.924553e-28,1.803618e-26,7.208230e-28,8.255543e-29,2.300451e-27
5.000000e-01,6.046164e-12,1.000000e+00,1.000000e+00,4.879283e-27,1.200983e-27,4.919661e-26,2.085642e-27,2.519678e-28,4.729473e-27
6.666667e-01,7.559431e-12,1.000000e+00,1.000000e+00,1.023442e-26,2.797267e-27,1.147413e-25,5.066876e-27,6.370235e-28,9.541231e-27
8.333333e-01,9.451296e-12,1.000000e+00,1.000000e+00,2.081103e-26,5.928001e-27,2.481003e-25,1.124919e-26,1.457221e-27,1.907054e-26
1.000000e+00,1.181678e-11,1.000000e+00,1.000000e+00,4.174509e-26,1.211286e-26,5.156555e-25,2.374607e-26,3.145070e-27,3.789497e-26
1.166667e+00,1.477414e-11,1.000000e+00,1.000000e+00,8.311586e-26,2.435321e-26,1.048583e-24,4.865963e-26,6.549378e-27,7.499967e-26
1.333333e+00,1.847151e-11,1.000000e+00,1.000000e+00,1.647067e-25,4.854531e-26,2.105413e-24,9.792543e-26,1.333049e-26,1.480049e-25
1.500000e+00,2.309409e-11,1.000000e+00,1.000000e+00,3.253212e-25,9.626540e-26,4.194813e-24,1.948524e-25,2.672764e-26,2.914573e-25
1.666667e+00,2.887342e-11,1.000000e+00,1.000000e+00,6.410446e-25,1.902222e-25,8.316586e-24,3.849115e-25,5.304780e-26,5.730586e-25
1.833333e+00,3.609897e-11,1.000000e+00,1.000000e+00,1.261001e-24,3.749455e-25,1.643447e-23,7.567382e-25,1.045517e-25,1.125435e-24
2.000000e+00,4.513266e-11,1.000000e+00,1.000000e+00,2.477350e-24,7.377157e-25,3.240337e-23,1.483010e-24,2.050443e-25,2.208313e-24
2.166667e+00,5.642695e-11,1.000000e+00,1.000000e+00,4.862297e-24,1.449539e-24,6.378729e-23,2.899988e-24,4.006952e-25,4.330192e-24
2.333333e+00,7.054760e-11,1.000000e+00,1.000000e+00,9.536195e-24,2.845347e-24,1.254227e-22,5.662268e-24,7.809718e-25,8.486375e-24
2.500000e+00,8.820186e-11,1.000000e+00,1.000000e+00,1.869211e-23,5.580947e-24,2.464017e-22,1.104382e-23,1.519112e-24,1.662464e-23
2.666667e+00,1.102740e-10,1.000000e+00,1.000000e+00,3.662204e-23,1.094010e-23,4.837545e-22,2.152351e-23,2.950337e-24,3.255596e-23
2.833333e+00,1.378696e-10,1.000000e+00,1.000000e+00,7.172409e-23,2.143529e-23,9.492533e-22,4.192393e-23,5.722933e-24,6.373570e-23
3.000000e+00,1.723708e-10,1.000000e+00,1.000000e+00,1.404280e-22,4.198277e-23,1.861914e-21,8.162607e-23,1.108997e-23,1.247466e-22
3.166667e+00,2.155057e-10,1.000000e+00,1.000000e+00,2.748719e-22,8.220070e-23,3.650816e-21,1.588760e-22,2.147232e-23,2.441088e-22
3.333333e+00,2.694347e-10,1.000000e+00,1.000000e+00,5.379119e-22,1.609034e-22,7.156449e-21,3.091597e-22,4.154499e-23,4.775937e-22
3.500000e+00,3.368589e-10,1.000000e+00,1.000000e+00,1.052468e-21,3.148887e-22,1.402492e-20,6.014863e-22,8.033228e-23,9.342521e-22
3.666667e+00,4.211555e-10,1.000000e+00,1.000000e+00,2.058896e-21,6.161187e-22,2.747977e-20,1.170050e-21,1.552474e-22,1.827293e-21
3.833333e+00,5.265464e-10,1.000000e+00,1.000000e+00,4.027132e-21,1.205308e-21,5.383274e-20,2.275792e-21,2.998790e-22,3.573530e-21
4.000000e+00,6.583103e-10,1.000000e+00,1.000000e+00,7.875909e-21,2.357582e-21,1.054411e-19,4.426088e-21,5.789943e-22,6.987753e-21
4.166667e+00,8.230465e-10,1.000000e+00,1.000000e+00,1.540121e-20,4.610818e-21,2.064955e-19,8.607461e-21,1.117440e-21,1.366260e-20
4.333333e+00,1.029006e-09,1.000000e+00,1.000000e+00,3.011362e-20,9.016496e-21,4.043474e-19,1.673801e-20,2.155800e-21,2.671093e-20
4.500000e+00,1.286503e-09,1.000000e+00,1.000000e+00,5.887486e-20,1.762996e-20,7.916761e-19,3.254704e-20,4.157545e-21,5.221650e-20
4.666667e+00,1.608435e-09,1.000000e+00,1.000000e+00,1.150957e-19,3.446853e-20,1.549863e-18,6.328516e-20,8.015261e-21,1.020687e-19
4.833333e+00,2.010924e-09,1.000000e+00,1.000000e+00,2.249850e-19,6.738391e-20,3.033864e-18,1.230491e-19,1.544746e-20,1.995017e-19
5.000000e+00,2.514126e-09,1.000000e+00,1.000000e+00,4.397604e-19,1.317209e-19,5.940948e-18,2.389676e-19,2.956738e-20,3.897341e-19
5.166667e+00,3.143240e-09,1.000000e+00,1.000000e+00,8.591909e-19,2.574665e-19,1.168411e-17,4.578318e-19,5.284315e-20,7.582525e-19
5.333333e+00,3.932864e-09,1.000000e+00,1.000000e+00,1.673126e-18,5.030486e-19,2.296440e-17,8.714362e-19,9.211746e-20,1.474713e-18
5.500000e+00,4.916965e-09,1.000000e+00,1.000000e+00,3.254917e-18,9.798634e-19,4.514786e-17,1.638449e-18,1.547312e-19,2.865930e-18
5.666667e+00,6.147291e-09,1.000000e+00,1.000000e+00,6.326970e-18,1.906526e-18,8.846024e-17,3.098676e-18,2.656101e-19,5.589486e-18
5.833333e+00,7.685434e-09,1.000000e+00,1.000000e+00,1.233074e-17,3.706337e-18,1.732563e-16,5.871006e-18,4.604929e-19,1.092495e-17
6.000000e+00,9.608387e-09,1.000000e+00,1.000000e+00,2.408612e-17,7.222071e-18,3.403874e-16,1.088852e-17,7.898382e-19,2.247172e-17
