Time,avgI1rd,avgI2rd,avgDrd
0.000000e+00,1.692569e+00,0.000000e+00,0.000000e+00
1.666667e-01,1.692569e+00,1.692569e+00,0.000000e+00
3.333333e-01,1.692569e+00,1.692569e+00,0.000000e+00
5.000000e-01,1.692569e+00,1.692569e+00,0.000000e+00
6.666667e-01,1.692569e+00,1.692569e+00,0.000000e+00
8.333333e-01,1.692569e+00,1.692569e+00,0.000000e+00
1.000000e+00,1.692569e+00,1.692569e+00,0.000000e+00
1.166667e+00,1.692569e+00,1.692569e+00,0.000000e+00
1.333333e+00,1.692569e+00,1.692569e+00,0.000000e+00
1.500000e+00,1.692569e+00,1.692569e+00,0.000000e+00
1.666667e+00,1.692569e+00,1.692569e+00,0.000000e+00
1.833333e+00,1.692569e+00,1.692569e+00,0.000000e+00
2.000000e+00,1.692569e+00,1.692569e+00,0.000000e+00
2.166667e+00,1.692569e+00,1.692569e+00,0.000000e+00
2.333333e+00,1.692569e+00,1.692569e+00,0.000000e+00
2.500000e+00,1.692569e+00,1.692569e+00,0.000000e+00
2.666667e+00,1.692569e+00,1.692569e+00,0.000000e+00
2.833333e+00,1.692569e+00,1.692569e+00,0.000000e+00
3.000000e+00,1.692569e+00,1.692569e+00,0.000000e+00
3.166667e+00,1.692569e+00,1.692569e+00,0.000000e+00
3.333333e+00,1.692569e+00,1.692569e+00,0.000000e+00
3.500000e+00,1.692569e+00,1.692569e+00,0.000000e+00
3.666667e+00,1.692569e+00,1.692569e+00,0.000000e+00
3.833333e+00,1.692569e+00,1.692569e+00,0.000000e+00
4.000000e+00,1.692569e+00,1.692569e+00,0.000000e+00
4.166667e+00,1.692569e+00,1.692569e+00,0.000000e+00
4.333333e+00,1.692569e+00,1.692569e+00,0.000000e+00
4.500000e+00,1.692569e+00,1.692569e+00,0.000000e+00
4.666667e+00,1.692569e+00,1.692569e+00,0.000000e+00
4.833333e+00,1.692569e+00,1.692569e+00,0.000000e+00
5.000000e+00,1.692569e+00,1.692569e+00,0.000000e+00
5.166667e+00,1.692569e+00,1.692569e+00,0.000000e+00
5.333333e+00,1.692569e+00,1.692569e+00,0.000000e+00
5.500000e+00,1.692569e+00,1.692569e+00,0.000000e+00
5.666667e+00,1.692569e+00,1.692569e+00,0.000000e+00
5.833333e+00,1.692569e+00,1.692569e+00,0.000000e+00
6.000000e+00,1.692569e+00,1.692569e+00,0.000000e+00
6.166667e+00,2.393654e+00,1.692569e+00,0.000000e+00
6.333333e+00,3.385138e+00,1.692569e+00,0.000000e+00
6.500000e+00,3.784699e+00,1.692569e+00,0.000000e+00
6.666667e+00,4.145930e+00,1.692569e+00,0.000000e+00
6.833333e+00,4.478116e+00,1.692569e+00,0.000000e+00
7.000000e+00,4.787307e+00,1.692569e+00,0.000000e+00
7.166667e+00,5.077706e+00,1.692569e+00,0.000000e+00
7.333333e+00,5.613615e+00,1.692569e+00,0.000000e+00
7.500000e+00,5.863230e+00,2.393654e+00,0.000000e+00
7.666667e+00,6.333012e+00,2.393654e+00,0.000000e+00
7.833333e+00,6.978640e+00,2.393654e+00,0.000000e+00
8.000000e+00,7.377736e+00,2.393654e+00,0.000000e+00
8.166667e+00,7.756324e+00,2.931615e+00,0.000000e+00
8.333333e+00,7.938851e+00,3.784699e+00,0.000000e+00
8.500000e+00,8.117275e+00,4.787307e+00,0.000000e+00
8.666667e+00,8.630441e+00,4.787307e+00,0.000000e+00
8.833333e+00,8.956232e+00,4.787307e+00,0.000000e+00
9.000000e+00,9.423824e+00,4.787307e+00,0.000000e+00
9.166667e+00,9.723067e+00,4.787307e+00,0.000000e+00
9.333333e+00,1.057009e+01,4.787307e+00,0.000000e+00
9.500000e+00,1.109892e+01,5.352372e+00,0.000000e+00
9.666667e+00,1.135410e+01,5.352372e+00,0.000000e+00
9.833333e+00,1.160367e+01,5.613615e+00,0.000000e+00
1.000000e+01,1.196827e+01,6.102643e+00,0.000000e+00
1.016667e+01,1.208736e+01,6.333012e+00,0.000000e+00
1.033333e+01,1.232209e+01,6.333012e+00,0.000000e+00
1.050000e+01,1.277861e+01,6.333012e+00,0.000000e+00
1.066667e+01,1.332730e+01,6.770275e+00,0.000000e+00
1.083333e+01,1.385427e+01,6.770275e+00,0.000000e+00
1.100000e+01,1.416105e+01,6.978640e+00,0.000000e+00
1.116667e+01,1.456003e+01,7.569398e+00,0.000000e+00
1.133333e+01,1.485223e+01,7.756324e+00,0.000000e+00
1.150000e+01,1.542004e+01,7.756324e+00,0.000000e+00
1.166667e+01,1.551265e+01,8.630441e+00,0.000000e+00
1.183333e+01,1.596766e+01,8.630441e+00,0.000000e+00
1.200000e+01,1.632254e+01,8.794845e+00,0.000000e+00
1.216667e+01,1.666987e+01,9.114762e+00,0.000000e+00
1.233333e+01,1.726088e+01,9.270581e+00,0.000000e+00
1.250000e+01,1.775181e+01,9.574615e+00,1.692569e+00
1.266667e+01,1.783232e+01,1.001337e+01,1.692569e+00
1.283333e+01,1.807169e+01,1.015541e+01,1.692569e+00
1.300000e+01,1.830793e+01,1.029549e+01,1.692569e+00
1.316667e+01,1.869503e+01,1.057009e+01,1.692569e+00
1.333333e+01,1.877150e+01,1.057009e+01,1.692569e+00
1.350000e+01,1.929825e+01,1.096910e+01,1.692569e+00
1.366667e+01,1.944613e+01,1.122723e+01,1.692569e+00
1.383333e+01,1.973857e+01,1.135410e+01,1.692569e+00
1.400000e+01,2.016928e+01,1.172646e+01,1.692569e+00
1.416667e+01,2.093592e+01,1.208736e+01,1.692569e+00
1.433333e+01,2.107231e+01,1.232209e+01,1.692569e+00
1.450000e+01,2.147629e+01,1.266602e+01,1.692569e+00
1.466667e+01,2.180722e+01,1.277861e+01,1.692569e+00
1.483333e+01,2.219783e+01,1.321938e+01,1.692569e+00
1.500000e+01,2.264503e+01,1.332730e+01,1.692569e+00
1.516667e+01,2.270819e+01,1.416105e+01,1.692569e+00
1.533333e+01,2.302142e+01,1.446131e+01,1.692569e+00
1.550000e+01,2.308356e+01,1.485223e+01,1.692569e+00
1.566667e+01,2.339177e+01,1.523312e+01,1.692569e+00
1.583333e+01,2.375633e+01,1.532686e+01,1.692569e+00
1.600000e+01,2.435182e+01,1.542004e+01,1.692569e+00
1.616667e+01,2.452765e+01,1.578723e+01,1.692569e+00
1.633333e+01,2.481793e+01,1.641006e+01,1.692569e+00
1.650000e+01,2.516184e+01,1.666987e+01,1.692569e+00
1.666667e+01,2.544489e+01,1.684085e+01,1.692569e+00
1.683333e+01,2.572482e+01,1.692569e+01,1.692569e+00
1.700000e+01,2.583594e+01,1.734367e+01,1.692569e+00
1.716667e+01,2.605676e+01,1.767094e+01,1.692569e+00
1.733333e+01,2.622116e+01,1.830793e+01,1.692569e+00
1.750000e+01,2.654690e+01,1.861826e+01,1.692569e+00
1.766667e+01,2.686870e+01,1.877150e+01,1.692569e+00
1.783333e+01,2.713394e+01,1.899904e+01,1.692569e+00
1.800000e+01,2.739662e+01,1.922389e+01,1.692569e+00
1.816667e+01,2.739662e+01,1.937233e+01,1.692569e+00
1.833333e+01,2.770854e+01,1.951966e+01,1.692569e+00
1.850000e+01,2.776019e+01,2.002674e+01,1.692569e+00
1.866667e+01,2.796583e+01,2.031083e+01,2.393654e+00
1.883333e+01,2.806808e+01,2.045139e+01,2.931615e+00
1.900000e+01,2.832209e+01,2.059099e+01,3.385138e+00
1.916667e+01,2.857385e+01,2.107231e+01,3.385138e+00
1.933333e+01,2.897211e+01,2.120783e+01,3.784699e+00
1.950000e+01,2.926725e+01,2.134248e+01,4.145930e+00
1.966667e+01,2.951094e+01,2.147629e+01,4.145930e+00
1.983333e+01,2.984878e+01,2.154288e+01,4.145930e+00
2.000000e+01,3.027759e+01,2.206840e+01,4.478116e+00
